peptide_name,nanopore_name,voltage,peptide_conc,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Leu,PA,15,20.0,2,3,2-exp,-2557.07,0.921067,0.00674313,0.000102372,0.00305736,0.999996,0.000532515,0.325852,0.00482651,0.763654,0.000335586,0.374717,0.00482651,0.763654,0.000335586,0.374717
guesthost_Thr,PA,40,20.0,0,1,2-exp,-490.452,0.990851,0.042133,0.00078411,0.0374238,0.892994,0.0010738,0.0133708,0.243422,0.0357973,0.0609379,0.0105522,0.243422,0.0357973,0.0609379,0.0105522
guesthost_Thr,PA,40,20.0,0,2,2-exp,-569.617,0.996128,0.0585735,0.000346747,0.0367303,0.616036,0.00485187,0.140824,0.0706451,0.50883,0.00529119,0.151807,0.0706451,0.50883,0.00529119,0.151807
guesthost_Thr,PA,40,20.0,0,3,2-exp,-157.333,0.975926,0.0466729,0.0012352,0.0252212,1.0,0.00758668,0.274886,0.059344,0.36148,0.017635,0.347859,0.059344,0.36148,0.017635,0.347859
guesthost_Thr,PA,40,20.0,1,0,2-exp,-184.988,0.889992,0.00721867,0.000430184,0.00334973,1.0,0.000488245,0.110128,0.0407085,0.0950403,0.00889648,0.0242246,0.0407085,0.0950403,0.00889648,0.0242246
guesthost_Thr,PA,40,20.0,1,2,1-exp,-384.242,0.97529,0.0170976,0.000272149,0.0170976,0.906755,0.000272149,0.018303,,,,,,,,
guesthost_Thr,PA,40,20.0,1,3,1-exp,-191.054,0.961612,0.0122545,0.000330154,0.0122545,1.07481,0.000330154,0.0392631,,,,,,,,
guesthost_Thr,PA,40,20.0,2,0,2-exp,-116.805,0.689414,0.00354067,0.000552172,0.00231297,1.0,0.00185686,0.248507,0.00785376,0.15632,0.00771774,0.447437,0.00785376,0.15632,0.00771774,0.447437
guesthost_Thr,PA,40,20.0,2,1,2-exp,-362.264,0.980213,0.0207455,0.00031249,0.017105,1.0,0.00172761,0.0862315,0.0469238,0.0775836,0.0240823,0.103394,0.0469238,0.0775836,0.0240823,0.103394
guesthost_Thr,PA,40,20.0,2,3,3-exp,-860.95,0.971669,0.00829652,0.00017534,0.00394346,0.877394,7.02077,2009920.0,0.00394359,0.531475,11.374,2009920.0,0.0329437,0.0831915,0.00330681,0.0143395
guesthost_Trp,PA,80,18.0,0,1,1-exp,-544.223,0.183379,3.43139,0.142697,3.43139,0.385796,0.142697,0.00685998,,,,,,,,
guesthost_Trp,PA,80,18.0,0,2,2-exp,-637.525,0.491159,0.12733,0.00750366,0.0252022,1.0,0.00179452,0.055555,1.0,0.102128,0.0352485,0.00924582,1.0,0.102128,0.0352485,0.00924582
guesthost_Trp,PA,80,18.0,0,3,1-exp,-21.6797,0.471562,10.0,1.1325,10.0,0.57177,1.1325,0.0720159,,,,,,,,
guesthost_Trp,PA,80,18.0,1,0,3-exp,-7883.22,0.981471,0.0100787,3.81458e-05,0.00477355,0.947863,0.000193053,0.0349223,0.0144541,0.158924,0.00249154,0.0355561,0.0471897,0.0690185,0.00195755,0.00848854
guesthost_Trp,PA,80,18.0,1,2,3-exp,-11054.9,0.9944,0.0268715,5.76157e-05,0.00383347,0.640082,9.30691e-05,0.00989903,0.0451568,0.526459,0.000407924,0.00256052,0.176597,0.00365017,0.0561151,0.00225493
guesthost_Trp,PA,80,18.0,1,3,1-exp,-953.913,0.988144,0.0401482,0.000302754,0.0401482,0.995089,0.000302754,0.0102493,,,,,,,,
guesthost_Trp,PA,80,18.0,2,0,3-exp,-4846.17,0.966024,0.00829023,0.000515178,0.00125646,1.0,0.000580563,0.740125,0.00739913,0.533302,0.00117861,0.0721324,0.0139771,0.220917,0.00146126,0.11102
guesthost_Trp,PA,80,18.0,2,1,3-exp,-6731.57,0.988765,0.014679,5.19048e-05,0.0103969,0.990706,0.88227,300184.0,0.010398,0.369925,2.45287,300184.0,0.0376024,0.0141538,0.0115867,0.0111289
guesthost_Trp,PA,80,18.0,2,3,3-exp,-6395.8,0.954634,0.00618826,3.31203e-05,0.00409829,0.649118,0.627792,500364.0,0.00409871,0.776427,0.50059,500364.0,0.0280688,0.0123141,0.00326692,0.00241136
guesthost_Leu,PA,35,20.0,0,1,3-exp,-3013.88,0.997029,0.05265,0.000226407,0.0051411,0.523577,0.000205505,0.0118941,0.060672,0.558143,0.00056409,0.00485319,0.609243,0.0264175,0.0150999,0.000849585
